"Strain","Plasmid","Replicate","RBS","Promoter","Media","well","time","OD600","row","column"
"E.coli EW11","SKS55",1,"k0.75","P-tet","M9C","A11",1142.382,0.4156,"A",11
"","",NA,"","","","A12",1142.382,NA,"A",12
"","",NA,"","","","B1",1142.382,NA,"B",1
"E.coli EW11","SKS45",2,"k2.3","P150","M9C","B2",1142.382,0.2721,"B",2
"E.coli EW11","SKS46",2,"k0.75","P150","M9C","B3",1142.382,0.2298,"B",3
"E.coli EW11","SKS47",2,"k8.5","P-tet","M9C","B4",1142.382,0.1361,"B",4
"E.coli EW11","SKS48",2,"k2.3","P-tet","M9C","B5",1142.382,0.3643,"B",5
"E.coli EW11","SKS49",2,"k0.75","P-tet","M9C","B6",1142.382,0.3201,"B",6
"E.coli EW11","SKS50",2,"k8.5","P150","M9C","B7",1142.382,0.1964,"B",7
"E.coli EW11","SKS51",2,"k2.3","P150","M9C","B8",1142.382,0.4891,"B",8
"E.coli EW11","SKS52",2,"k0.75","P150","M9C","B9",1142.382,0.3574,"B",9
"E.coli EW11","SKS54",2,"k2.3","P-tet","M9C","B10",1142.382,0.3524,"B",10
"E.coli EW11","SKS55",2,"k0.75","P-tet","M9C","B11",1142.382,0.3835,"B",11
"","",NA,"","","","B12",1142.382,NA,"B",12
"","",NA,"","","","C1",1142.382,NA,"C",1
"E.coli EW11","SKS45",3,"k2.3","P150","M9C","C2",1142.382,0.1214,"C",2
"E.coli EW11","SKS46",3,"k0.75","P150","M9C","C3",1142.382,0.1889,"C",3
"E.coli EW11","SKS47",3,"k8.5","P-tet","M9C","C4",1142.382,0.1975,"C",4
"E.coli EW11","SKS48",3,"k2.3","P-tet","M9C","C5",1142.382,0.1629,"C",5
"E.coli EW11","SKS49",3,"k0.75","P-tet","M9C","C6",1142.382,0.2345,"C",6
"E.coli EW11","SKS50",3,"k8.5","P150","M9C","C7",1142.382,0.1976,"C",7
"E.coli EW11","SKS51",3,"k2.3","P150","M9C","C8",1142.382,0.1534,"C",8
"E.coli EW11","SKS52",3,"k0.75","P150","M9C","C9",1142.382,0.1271,"C",9
"E.coli EW11","SKS54",3,"k2.3","P-tet","M9C","C10",1142.382,0.1888,"C",10
"E.coli EW11","SKS55",3,"k0.75","P-tet","M9C","C11",1142.382,0.1291,"C",11
"","",NA,"","","","C12",1142.382,NA,"C",12
"","",NA,"","","","D1",1142.382,NA,"D",1
"","",NA,"","","","D2",1142.382,NA,"D",2
"","",NA,"","","","D3",1142.382,NA,"D",3
"","",NA,"","","","D4",1142.382,NA,"D",4
"","",NA,"","","","D5",1142.382,NA,"D",5
"","",NA,"","","","D6",1142.382,NA,"D",6
"","",NA,"","","","D7",1142.382,NA,"D",7
"","",NA,"","","","D8",1142.382,NA,"D",8
"","",NA,"","","","D9",1142.382,NA,"D",9
"","",NA,"","","","D10",1142.382,NA,"D",10
"","",NA,"","","","D11",1142.382,NA,"D",11
"","",NA,"","","","D12",1142.382,NA,"D",12
"","",NA,"","","","E1",1142.382,NA,"E",1
"","",NA,"","","","E2",1142.382,NA,"E",2
"","",NA,"","","","E3",1142.382,NA,"E",3
"","",NA,"","","","E4",1142.382,NA,"E",4
"","",NA,"","","","E5",1142.382,NA,"E",5
"","",NA,"","","","E6",1142.382,NA,"E",6
"","",NA,"","","","E7",1142.382,NA,"E",7
"","",NA,"","","","E8",1142.382,NA,"E",8
"","",NA,"","","","E9",1142.382,NA,"E",9
"","",NA,"","","","E10",1142.382,NA,"E",10
"","",NA,"","","","E11",1142.382,NA,"E",11
"","",NA,"","","","E12",1142.382,NA,"E",12
"","",NA,"","","","F1",1142.382,NA,"F",1
"E.coli EW11","SKS45",1,"k2.3","P150","M9sa","F2",1142.382,0.1575,"F",2
"E.coli EW11","SKS46",1,"k0.75","P150","M9sa","F3",1142.382,0.1828,"F",3
"E.coli EW11","SKS47",1,"k8.5","P-tet","M9sa","F4",1142.382,0.1129,"F",4
"E.coli EW11","SKS48",1,"k2.3","P-tet","M9sa","F5",1142.382,0.1513,"F",5
"E.coli EW11","SKS49",1,"k0.75","P-tet","M9sa","F6",1142.382,0.157,"F",6
"E.coli EW11","SKS50",1,"k8.5","P150","M9sa","F7",1142.382,0.1814,"F",7
"E.coli EW11","SKS51",1,"k2.3","P150","M9sa","F8",1142.382,0.2178,"F",8
"E.coli EW11","SKS52",1,"k0.75","P150","M9sa","F9",1142.382,0.2978,"F",9
"E.coli EW11","SKS54",1,"k2.3","P-tet","M9sa","F10",1142.382,0.252,"F",10
"E.coli EW11","SKS55",1,"k0.75","P-tet","M9sa","F11",1142.382,0.1945,"F",11
"","",NA,"","","","F12",1142.382,NA,"F",12
"","",NA,"","","","G1",1142.382,NA,"G",1
"E.coli EW11","SKS45",2,"k2.3","P150","M9sa","G2",1142.382,0.1569,"G",2
"E.coli EW11","SKS46",2,"k0.75","P150","M9sa","G3",1142.382,0.178,"G",3
"E.coli EW11","SKS47",2,"k8.5","P-tet","M9sa","G4",1142.382,0.2707,"G",4
"E.coli EW11","SKS48",2,"k2.3","P-tet","M9sa","G5",1142.382,0.1691,"G",5
"E.coli EW11","SKS49",2,"k0.75","P-tet","M9sa","G6",1142.382,0.1511,"G",6
"E.coli EW11","SKS50",2,"k8.5","P150","M9sa","G7",1142.382,0.4329,"G",7
"E.coli EW11","SKS51",2,"k2.3","P150","M9sa","G8",1142.382,0.2369,"G",8
"E.coli EW11","SKS52",2,"k0.75","P150","M9sa","G9",1142.382,0.3009,"G",9
"E.coli EW11","SKS54",2,"k2.3","P-tet","M9sa","G10",1142.382,0.1824,"G",10
"E.coli EW11","SKS55",2,"k0.75","P-tet","M9sa","G11",1142.382,0.3072,"G",11
"","",NA,"","","","G12",1142.382,NA,"G",12
"","",NA,"","","","H1",1142.382,NA,"H",1
"E.coli EW11","SKS45",3,"k2.3","P150","M9sa","H2",1142.382,0.1745,"H",2
